계절,일유형,2024피크시간,2024피크_kWh,2025피크시간,2025피크_kWh,피크증감률,저녁16_22증감률,야간22_08증감률
봄가을,주중,21,1.0311782048008173,21,1.0169345888661872,-0.013812952861413041,-0.009398430666819002,-0.010530126931155959
봄가을,주말,21,1.0397329174287955,20,1.001468186569115,-0.03680246168824497,-0.03236562932071374,-0.019236973306457683
여름,주중,21,1.4074574978392356,21,1.3696674805531543,-0.0268498461545712,-0.0237159891454094,-0.022400480287101288
여름,주말,21,1.3879134935497295,21,1.3614414273824393,-0.019073282513872747,-0.01009730688547461,-0.005989750065126698
겨울,주중,21,1.0290285419088212,21,1.0248480696367908,-0.004062542584363893,-0.0110017352564995,-0.0037939041937252727
겨울,주말,21,1.0110875330469264,21,1.0044336169861174,-0.006580949565026639,-0.006939029082313586,-0.012419418756685174
