고객ID,2024_연간사용량_kWh,2024_월평균_kWh,2024_최대시간사용량_kWh,2024_관측일수,2024_시간값완전도,2024_0사용일수,2024_주중일평균_kWh,2024_주말일평균_kWh,2024_주말주중비,2024_경부하비중,2024_중간부하비중,2024_최대부하비중,2024_월변동계수,2024_부하율,2024_하계민감도,2024_동계민감도,2025_연간사용량_kWh,2025_월평균_kWh,2025_최대시간사용량_kWh,2025_관측일수,2025_시간값완전도,2025_0사용일수,2025_주중일평균_kWh,2025_주말일평균_kWh,2025_주말주중비,2025_경부하비중,2025_중간부하비중,2025_최대부하비중,2025_월변동계수,2025_부하율,2025_하계민감도,2025_동계민감도,연간사용량증감_kWh,연간사용량증감률,경부하비중_증감,중간부하비중_증감,최대부하비중_증감,주말주중비_증감,하계민감도_증감,동계민감도_증감,부하율_증감,15일예측_MAE_kWh,15일예측_MAPE,15일예측_오차10%이내,15일예측_평균편향_kWh,15일예측_평가월수,20일예측_MAE_kWh,20일예측_MAPE,20일예측_오차10%이내,20일예측_평균편향_kWh,20일예측_평가월수,2024_군집,2025_군집,군집유지여부,2024_추천요금제,2025_추천요금제,추천요금제유지여부,2024_일반 주택용_연간요금원,2024_제주 TOU(3kW)_연간요금원,2024_구독 기본형_연간요금원,2024_구독 프리미엄형_연간요금원,2024_최저요금원,2024_TOU대비최대절감원,2025_일반 주택용_연간요금원,2025_제주 TOU(3kW)_연간요금원,2025_구독 기본형_연간요금원,2025_구독 프리미엄형_연간요금원,2025_최저요금원,2025_TOU대비최대절감원
M0001,8384.284,698.6903333333333,5.413,366,0.9992030965391621,0,23.31995422057523,21.869769243093636,0.9378135581328846,0.3578328215027067,0.3129067431399032,0.32926043535739014,0.2246865034554769,0.17633382429198816,1.3150084283866097,0.9186630338157972,9350.733,779.22775,5.27,365,0.9992009132420091,0,25.664038311019254,25.50402887050922,0.993765227491835,0.36447912693047707,0.3201626011565083,0.31535827191301474,0.24930956513669414,0.20254938785058876,1.3999590970677709,0.9597386163188756,966.4490000000005,0.11526911540687321,0.006646305427770394,0.00725585801660511,-0.013902163444375393,0.05595166935895046,0.08495066868116119,0.04107558250307841,0.026215563558600607,29.997271684462948,0.03537644996623036,0.9166666666666666,-6.120893224112915,12,29.656662263018706,0.03551033073253307,1.0,-8.820843485977074,12,주간·저녁 최대부하집중형,주간·저녁 최대부하집중형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,2108056.0900714,1763710.0589591,1914085.2,3016904.4,1763710.0589591,0.0,2419634.7683893004,1941947.4886196,2204019.8999999994,3085387.5,1941947.4886196,0.0
M0003,3160.1070000000004,263.34225000000004,3.89,366,1.0,0,8.449496171856655,9.09941346828754,1.0769178757185087,0.32281691727526945,0.3661103880343292,0.3110726946904013,0.7283725045267754,0.092482563529858,1.133673812277009,3.755785424140897,4135.38,344.615,4.124,365,1.0,0,11.093103428910062,11.9238461462351,1.0748882152455204,0.3693285743994506,0.3055370969536052,0.3251343286469442,0.38125989410178435,0.11447025762991113,1.3165913925391706,1.3280014926073174,975.2729999999997,0.3086202460866039,0.04651165712418115,-0.06057329108072401,0.014061633956542918,-0.0020296604729883594,0.18291758026216165,-2.42778393153358,0.021987694100053135,47.57058702474373,0.1301558545356227,0.4166666666666667,-14.912775658926355,12,29.447861879554978,0.0823066792598477,0.75,-12.16078839956401,12,극저사용·불규칙형,동계난방민감·야간형,이동,일반 주택용,일반 주택용,유지,633791.4485763002,798078.9275725002,1110210.0,2998800.0,633791.4485763002,164287.47899620002,772785.0387208,962014.7450396,1089460.2,2998800.0,772785.0387208,189229.7063188
M0006,7770.316000000001,647.5263333333334,4.108,366,0.998747723132969,0,19.988790009767953,24.35820190723126,1.2185931162080395,0.40477066827140623,0.3094813647218465,0.2857479670067472,0.2235181169285743,0.21533564168187538,1.2952656180111228,1.2915932740405305,8506.208,708.8506666666667,4.614,365,0.9981735159817352,0,22.043789304535963,26.469028738828804,1.200747674238669,0.3928387361324811,0.32532745495995397,0.2818338089075649,0.19433363314163685,0.2104526030564116,1.2372999484358396,1.3082650146462762,735.8919999999998,0.09470554350685349,-0.011931932138925128,0.015846090238107458,-0.00391415809918233,-0.017845441969370546,-0.05796566957528326,0.016671740605745722,-0.00488303862546377,51.2313913327474,0.07398642536046253,0.75,3.936663824647198,12,37.07624497771615,0.053472752532895323,0.9166666666666666,-4.366957230691369,12,고부하율·야간평탄형,고부하율·야간평탄형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1916752.9438036,1630079.0711114001,1729894.8000000003,2998800.0,1630079.0711114001,0.0,2167568.5368218003,1773113.6179176,1950662.4000000004,2998800.0,1773113.6179176,0.0
M0008,7072.2699999999995,589.3558333333333,4.879,366,0.9981785063752276,0,19.052603095542384,20.004692293130436,1.0499716071769114,0.332325547525759,0.3104477063234294,0.35722674615081157,0.2619984855805806,0.1650196597364789,1.5132506144874975,1.2062543263277967,7006.3769999999995,583.86475,4.206,365,0.9986301369863013,0,18.795084328487,20.200576956455524,1.074779798983837,0.3326010004885549,0.312098678104247,0.3553003214071981,0.16106975567378934,0.19016041988288093,1.1982799773991408,1.1598092174181753,-65.89300000000003,-0.009317093380201836,0.0002754529627959079,0.0016509717808176338,-0.0019264247436134863,0.024808191806925617,-0.3149706370883567,-0.04644510890962139,0.02514076014640204,24.704219020845546,0.0434987570413946,1.0,6.008728464925734,12,17.66989229791312,0.030976254209397053,1.0,6.199859280429389,12,주간·저녁 최대부하집중형,주간·저녁 최대부하집중형,유지,구독 기본형,구독 기본형,유지,1671027.7852869998,1541615.5360970001,1534073.4,2998800.0,1534073.4,7542.136097000213,1670708.1129767,1521446.0602334,1500740.0999999999,2998800.0,1500740.0999999999,20705.96023340011
M0009,7608.131,634.0109166666667,3.509,366,0.9982923497267759,0,20.556007650972322,21.369778834856472,1.0395879977134401,0.2885744212343347,0.39619388782869275,0.3152316909369725,0.4061552131767771,0.24683246852615784,1.5797673548750066,0.8316185655851867,7286.366,607.1971666666667,3.48,365,0.9969178082191781,0,19.831808433678873,20.291000054432796,1.0231542989278837,0.29021558895065114,0.39169443313717706,0.31808997791217186,0.4139537815994507,0.23901636225266362,1.7246340646213367,0.8087515692934856,-321.7650000000003,-0.042292252854216145,0.0016411677163164495,-0.004499454691515692,0.0028582869751993534,-0.01643369878555645,0.1448667097463301,-0.02286699629170108,-0.007816106273494217,36.4736547098888,0.05685802540669411,0.75,-3.0024982700998586,12,22.13407026644884,0.03352312677322702,0.8333333333333334,-0.4859053558360576,12,하계냉방민감형,하계냉방민감형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1818913.2158701,1639265.3258744,1681383.3,3073966.8,1639265.3258744,0.0,1716384.0589686001,1580503.1454513,1626649.7999999998,3054675.3,1580503.1454513,0.0
M0013,4070.7509999999997,339.22925,5.234,366,0.9989754098360656,0,10.996442801169767,11.439259552038633,1.0402690905482417,0.34580621610115675,0.33360036022837064,0.3205934236704726,0.3918963394583753,0.0885418297971857,1.592598906523852,1.0533629856421967,4483.053000000001,373.5877500000001,4.67,365,0.9981735159817352,0,12.207842909970045,12.46928850045571,1.0214161987841557,0.34181438408156223,0.35084639864842104,0.3073392172700166,0.2514470310189148,0.10958544777213929,1.3431663274061245,0.9120952274836671,412.30200000000104,0.10128401368690963,-0.003991832019594521,0.017246038420050402,-0.013254206400455992,-0.018852891764086,-0.24943257911772743,-0.14126775815852954,0.02104361797495359,28.64848975701298,0.0778988833753114,0.5833333333333334,-4.043852800653838,12,19.03925598470204,0.050890678824541374,0.9166666666666666,-3.1540046584728856,12,하계냉방민감형,저사용·저피크형,이동,일반 주택용,일반 주택용,유지,743201.9838544,952853.4905176,1116176.4000000001,2998800.0,743201.9838544,209651.50666319998,838946.2571336002,1024607.5097678,1078488.6,2998800.0,838946.2571336002,185661.2526341998
M0017,9078.77,756.5641666666667,6.327,366,0.9989754098360656,0,24.23269084755701,26.248125076293945,1.0831700549235588,0.5140463961527828,0.16122965996495123,0.324723943882266,0.28736914153672144,0.16335666267360258,1.292362139006857,0.9204764901990622,11129.722,927.4768333333333,7.16,365,0.9986301369863013,0,30.243521039970076,31.116951905764065,1.028879933147984,0.476809483651074,0.17221041100577353,0.3509801053431524,0.3852509224906853,0.17744639805107013,1.6314571281067145,1.4829022530047362,2050.9519999999993,0.22590637277957248,-0.037236912501708797,0.0109807510408223,0.026256161460886385,-0.054290121775574685,0.3390949890998576,0.562425762805674,0.01408973537746755,124.4767667156611,0.13415503198750536,0.3333333333333333,13.389535468758615,12,93.89242208046669,0.09584210753885637,0.6666666666666666,0.5440951448576214,12,고부하율·야간평탄형,동계난방민감·야간형,이동,제주 TOU(3kW),제주 TOU(3kW),유지,2331695.189537,1829670.8709636,2122431.0,3090353.4,1829670.8709636,0.0,3007649.4749112003,2259597.6857062,2737716.6,3454506.9000000004,2259597.6857062,0.0
M0020,7059.404,588.2836666666667,4.344,366,0.998747723132969,0,18.56770230431593,21.102557700413925,1.136519605633099,0.33767864822582755,0.29950871206691104,0.3628126397072614,0.3285518505827328,0.18500603390728831,1.4628718105727738,0.8463616544566966,6817.898,568.1581666666667,4.302,365,0.9984018264840183,0,18.210333362849735,19.85577885691936,1.0903577908917605,0.35775938566402726,0.2918931905405449,0.3503474237954279,0.3842955479584582,0.18091558773767752,1.6135122288851005,0.8674591643818605,-241.5060000000003,-0.03421053675352768,0.020080737438199714,-0.007615521526366131,-0.012465215911833527,-0.046161814741338514,0.15064041831232666,0.021097509925163904,-0.004090446169610795,43.37931816428837,0.07946479247202541,0.75,1.3844284988112936,12,27.856262589246697,0.0452830770562781,0.8333333333333334,1.0419315198465284,12,주말·최대부하집중형,하계냉방민감형,이동,구독 기본형,제주 TOU(3kW),변경,1654349.1243033998,1526524.6000389,1519914.3,3013396.5,1519914.3,6610.3000388999935,1560405.4363842,1476506.6165177997,1516606.4999999998,3010340.4,1476506.6165177997,0.0
M0021,9446.970000000001,787.2475000000001,3.723,366,0.9985200364298725,0,25.202732857857043,27.34474999171037,1.0849914628677082,0.40160898150412244,0.29844489820545633,0.2999461202904211,0.2620925636655849,0.2888731471329456,1.3075005110611742,1.1097663931829345,7687.994999999999,640.6662499999999,3.553,365,0.9981735159817352,0,20.801383113495692,21.71955773463616,1.044140075500305,0.4036752105067706,0.2971069830300358,0.29921780646319357,0.17625641232307604,0.2470095693779904,1.1259973769936957,1.1580276684858484,-1758.9750000000022,-0.1861946211324903,0.0020662290026481345,-0.0013379151754205343,-0.0007283138272275447,-0.040851387367403236,-0.18150313406747842,0.04826127530291391,-0.041863577754955195,52.01654247400989,0.08229985136713962,0.6666666666666666,7.811274271889208,12,35.526450160812686,0.055466516351458085,0.8333333333333334,8.535562393671938,12,고부하율·야간평탄형,고부하율·야간평탄형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,2459191.364042,1947169.7900102,2232891.0,3065496.6,1947169.7900102,0.0,1910130.7387995003,1612941.0277974,1709571.2999999998,2998800.0,1612941.0277974,0.0
M0022,7949.614999999999,662.4679166666666,5.889,366,0.9985200364298725,0,21.491454230010053,22.296673068633446,1.0374669312744322,0.3391965522858654,0.38323805618259504,0.2775653915315396,0.21410242591333234,0.15367818222421412,1.3298477797928332,1.064740668350336,7823.818000000001,651.9848333333334,4.831,365,0.9984018264840183,0,21.436191547876117,21.432423087266777,0.9998242010199935,0.3486773337518843,0.3854472330516891,0.26587543319642665,0.20943334068042904,0.18487474822517058,1.3209670359585886,1.0219743595218331,-125.79699999999775,-0.01582428834603912,0.009480781466018884,0.002209176869094054,-0.011689958335112938,-0.03764273025443876,-0.008880743834244642,-0.04276630882850285,0.031196566000956466,30.103008728332924,0.04323059095765036,1.0,-0.6515008751060899,12,20.32724629149476,0.027782556130640925,1.0,-3.2541962183610167,12,주간·저녁 최대부하집중형,고부하율·야간평탄형,이동,제주 TOU(3kW),제주 TOU(3kW),유지,1967478.0391314998,1680050.7571343996,1783684.5000000002,2998800.0,1680050.7571343996,0.0,1926413.0802028005,1647535.4398579998,1745945.4000000004,2998800.0,1647535.4398579998,0.0
M0024,7291.804,607.6503333333334,5.294,366,0.9985200364298725,0,19.484667969113996,21.027124982613785,1.079162601895234,0.35255802267861286,0.3064145717575514,0.34102740556383576,0.2667312326980342,0.15680457238252332,1.2954155074252203,0.9423665360910986,7505.366999999998,625.4472499999998,5.424,365,0.9985159817351598,0,20.151011481595678,21.595701914567215,1.0716931968547088,0.3444076752009595,0.3157355263240292,0.33985679847501127,0.24527529332528178,0.15796037145916672,1.4324645954686097,1.019662177431255,213.56299999999828,0.029288088379775194,-0.008150347477653364,0.009320954566477802,-0.0011706070888244935,-0.00746940504052529,0.13704908804338944,0.07729564134015654,0.001155799076643399,38.26184255228465,0.05708868551661378,0.75,-16.6424852459307,12,24.76581217110497,0.03684653442745361,1.0,-8.4262990653236,12,주간·저녁 최대부하집중형,주간·저녁 최대부하집중형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1742965.7485183997,1560636.7793933,1593360.8999999997,2998800.0,1560636.7793933,0.0,1811590.1646157,1609808.2672412999,1650410.0999999999,2998800.0,1609808.2672412999,0.0
M0026,7199.419,599.9515833333334,5.417,366,0.9993169398907104,0,19.591450403664858,19.869798018382145,1.0142076063273608,0.41716185708874565,0.35336573687404493,0.22947240603720936,0.2304520207495964,0.15130256381028087,1.3719119475280546,0.9301149146163646,7302.608,608.5506666666666,5.297,365,0.9994292237442922,0,19.7069348923548,20.760557706539448,1.0534645707178643,0.389411015900073,0.358954636480556,0.25163434761937103,0.2029644685398571,0.1573779592653031,1.3238613428920831,0.9081569143758205,103.1890000000003,0.01433296214597321,-0.02775084118867266,0.005588899606511044,0.02216194158216167,0.03925696439050341,-0.04805060463597144,-0.021958000240544173,0.0060753954550222256,38.325189407273434,0.05906601383024304,0.8333333333333334,-6.306434725825639,12,30.363412101829073,0.047778825503500294,0.9166666666666666,-3.1209091643624447,12,고부하율·야간평탄형,고부하율·야간평탄형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1712936.7033499,1497691.599173,1558625.7000000002,2998800.0,1497691.599173,0.0,1752658.9957268,1527990.2471974,1589582.4000000001,2998800.0,1527990.2471974,0.0
M0027,7476.259,623.0215833333333,3.333,366,0.998747723132969,0,20.367916001618365,20.57562498862927,1.010197851709247,0.4093438977970132,0.3402539960159219,0.25040210618706493,0.2045608648711304,0.2553622507059449,1.2455896276817822,1.1223747404726758,7719.176000000001,643.2646666666668,4.107,365,0.9984018264840183,0,21.309203093079315,20.7449424633613,0.9735203316964363,0.41240515827077917,0.34744135902588574,0.24015348270333517,0.20701348477546405,0.21455672629312025,1.368140499047807,1.1722928613753179,242.91700000000128,0.03249178499567782,0.003061260473765981,0.007187363009963865,-0.010248623483729763,-0.03667752001281066,0.12255087136602483,0.04991812090264203,-0.04080552441282467,27.109265100575538,0.04387833541888004,1.0,0.6456667864642517,12,20.908397842689595,0.03244316973904609,1.0,-2.060864224509411,12,고부하율·야간평탄형,고부하율·야간평탄형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1817518.4230889,1560456.3674300998,1641677.7,2998800.0,1560456.3674300998,0.0,1891923.8073246002,1606033.7951392003,1714552.8,2998800.0,1606033.7951392003,0.0
M0028,6826.807000000001,568.9005833333334,4.814,366,0.9994307832422586,0,17.885748149784465,20.584048078610348,1.1508631289129718,0.45272921879877376,0.3191786438374485,0.2280921373637778,0.13123038474864987,0.16144299735213705,1.1360684264743721,0.9892497385428894,6381.037,531.7530833333334,10.331,365,0.998972602739726,0,16.963766291680464,18.783596103007977,1.1072774630372038,0.4710823648256545,0.294127114448639,0.2347905207257065,0.1326200382212327,0.07050903893897385,1.1785555882366676,1.0580126415875821,-445.77000000000044,-0.06529699755683739,0.018353146026880762,-0.0250515293888095,0.006698383361928684,-0.043585665875768065,0.0424871617622955,0.06876290304469268,-0.0909339584131632,26.161244219623672,0.04851146381228994,0.9166666666666666,11.485576125181021,12,19.904056337150664,0.03599546809998962,1.0,6.595322878609906,12,고부하율·야간평탄형,순간고피크·고변동형,이동,제주 TOU(3kW),구독 기본형,변경,1611458.8310947001,1414814.1787304003,1446842.1,2998800.0,1414814.1787304003,0.0,1462691.1559477,1333178.8267909999,1320002.1,2998800.0,1320002.1,13176.72679099976
M0029,6225.387000000001,518.7822500000001,5.154,366,1.0,0,16.609316814946766,18.016788459741154,1.0847398878879715,0.2574985298102752,0.41706226456282963,0.32543920562689516,0.37158490921261794,0.13750852168510427,0.9917114148906501,1.750168753046095,6875.389999999999,572.9491666666667,5.6,365,1.0,0,19.047402248528726,18.307865323928688,0.9611738695413353,0.267208987417441,0.4079496581284844,0.3248413544540746,0.4227891953799945,0.14015390574037834,0.922741152027375,1.8173692319200225,650.0029999999988,0.10441166147582451,0.009710457607165768,-0.00911260643434525,-0.0005978511728205738,-0.12356601834663616,-0.06897026286327512,0.06720047887392755,0.0026453840552740637,38.67832680579307,0.07791368856682072,0.6666666666666666,9.31675792561785,12,28.575661962655357,0.05303303472715915,0.9166666666666666,7.327220401284175,12,동계난방민감·야간형,동계난방민감·야간형,유지,제주 TOU(3kW),제주 TOU(3kW),유지,1433087.7866809,1396686.5890698,1426948.5,2998800.0,1396686.5890698,0.0,1650914.2338682,1521392.2057494998,1575637.2000000002,3013499.1,1521392.2057494998,0.0
M0030,5740.212,478.35100000000006,5.792,366,0.9985200364298725,0,15.829187072870386,15.316971159898317,0.967641047476787,0.290989949500123,0.3684762862416929,0.34053376425818416,0.24354190151909466,0.11282544417776168,1.3426640521437587,1.0052141182418441,5617.249,468.10408333333334,4.421,365,0.9981735159817352,0,15.480218361163962,15.162615390924307,0.9794833016673433,0.29069265044152404,0.3711478697134487,0.33815947984502737,0.22726973482856486,0.14504376166469907,1.3141223071763555,0.9330300270717028,-122.96300000000065,-0.021421334264309512,-0.00029729905859898764,0.002671583471755834,-0.002374284413156791,0.01184225419055629,-0.02854174496740325,-0.07218409117014135,0.03221831748693739,31.54686648220601,0.06527519643187417,0.8333333333333334,4.039456507443745,12,23.70587044975917,0.04750274599341541,0.9166666666666666,0.5778300038688494,12,주간·저녁 최대부하집중형,주간·저녁 최대부하집중형,유지,일반 주택용,일반 주택용,유지,1218352.8783342,1285056.1410337,1225146.3,2998800.0,1218352.8783342,66703.26269949996,1177947.5955569,1258042.9438079998,1198898.1,2998800.0,1177947.5955569,80095.34825109993
M0035,5871.438,489.2865,5.881,366,0.9985200364298725,0,15.364751901335389,17.74877881545287,1.1551620832816882,0.32254943337560577,0.3454094209970369,0.3320411456273573,0.4041191844738565,0.11365825205371005,1.6388894397803155,0.9058007944828044,5138.711,428.2259166666667,5.61,365,0.9984018264840183,0,13.77660920062741,14.836692308004086,1.076948042289564,0.3313910823161684,0.34844555375852043,0.3201633639253113,0.4496394640902639,0.10456521296771096,1.8562862966474443,0.8497594690215454,-732.7269999999999,-0.12479515239707885,0.008841648940562608,0.003036132761483512,-0.011877781702046009,-0.07821404099212415,0.21739685686712873,-0.05604132546125895,-0.009093039085999094,84.28738950798369,0.189589932239952,0.25,-7.111731939947028,12,47.829084459185786,0.10769725081478021,0.4166666666666667,-12.5140393444768,12,하계냉방민감형,하계냉방민감형,유지,일반 주택용,일반 주택용,유지,1242099.9327506,1303408.0456186999,1352433.6,2998800.0,1242099.9327506,61308.11286809994,1042103.7971924999,1159435.2762713,1256140.2,2998800.0,1042103.7971924999,117331.47907880007
