비식별고객ID,관측일수,시간값완전도,0사용일수,연간사용량_kWh,월평균사용량_kWh,최대시간사용량_kWh,주말/주중_일사용량비,경부하비중,중간부하비중,최대부하비중,부하율,월변동계수,하계민감도,동계민감도,일반주택용_연간요금원,제주TOU3kW_연간요금원,제주TOU5kW_연간요금원,구독기본형_연간요금원,구독프리미엄형_연간요금원,연간최저요금제,TOU대비최대절감가능액원,15일예측_MAPE,20일예측_MAPE,군집
T0001,365,1.0,0,9036.091,753.0075833333332,5.104,0.927509132642013,0.4734773034047577,0.2783139302160635,0.2482087663791787,0.2020997722262779,0.1970209714286649,1.1439699388281728,0.8699245342115177,2344917.9968711003,1811777.9849134,1928354.8649134,2114976.3,3003607.2,제주TOU(3kW),0.0,0.1549051126068351,0.0815980476156319,야간·평탄형
T0002,365,0.9982876712328768,0,6841.751499999999,570.1459583333333,3.944,0.8999424101338643,0.2730168583293327,0.3819399169934775,0.3450432246771897,0.1980278551548158,0.1285338568988545,1.1871271660752911,1.0107813254188454,1613909.0641656502,1499937.8937049503,1616514.7737049505,1451325.4499999995,2998800.0,구독기본형,48612.44370495062,0.0349477006624211,0.0292622818762074,주간·저녁활동형
T0003,365,0.9985159817351598,0,4628.9425,385.7452083333333,3.728,1.1469986442349642,0.4982863796644697,0.1124587311248735,0.3892548892106567,0.1417430508603288,0.2223260746978081,1.2055722522699048,1.1803997942606204,891282.6061041,1036347.79035725,1152924.67035725,1064812.8,2998800.0,일반주택용,145065.18425315002,0.0628560258314455,0.0464915580617271,동계난방민감형
T0004,365,0.9982876712328768,0,5966.009999999999,497.1675,5.059,1.0836416217816631,0.4443468080006571,0.232474384052323,0.3231788079470198,0.1346217374704514,0.4739737235613589,1.3426971768025615,0.6563643976271805,1296667.44210815,1278427.05146835,1395003.93146835,1425275.25,2998800.0,제주TOU(3kW),0.0,0.1199136454091715,0.0800059499335006,하계·주말집중형
T0005,365,1.0,0,15477.825999999995,1289.818833333333,13.145,1.084476629803772,0.304712238010687,0.3505225475464059,0.344765214442907,0.1344142346257323,0.3942966549409412,1.6771879437297996,0.8298569587068628,4384308.8477496,3163823.422599,3280400.3025990003,4042147.8,4231367.1,제주TOU(3kW),0.0,0.0398965747594607,0.037711941132257,하계·주말집중형
T0006,365,1.0,0,13089.413,1090.7844166666666,10.417,0.9240406319861127,0.3481817710236508,0.3032029014593702,0.3486153275169789,0.1434410318047904,0.4889046839228944,0.8675442715955193,0.693465543259637,3685063.3714573,2625723.1151123,2742299.9951123,3325623.9,3867090.9,제주TOU(3kW),0.0,0.1252244038119451,0.0666049288015168,주간·저녁활동형
T0007,365,1.0,0,8266.753,688.8960833333334,10.153,1.0600801022963189,0.3788020520269567,0.2423292434163692,0.378868704556674,0.0929472338067746,0.5892365608747616,1.6320206741596794,1.2511405167049874,2085437.6995578003,1764978.5736442995,1881555.4536443,2127622.5,3220072.8,제주TOU(3kW),0.0,0.1733334408326278,0.1162493067488386,하계·주말집중형
T0008,365,0.9986301369863012,0,6953.377,579.4480833333333,3.655,0.995004939366753,0.2728658319547465,0.4213953881689429,0.3057387798763105,0.2171722291975089,0.2700221095595925,1.516715378088663,1.4701956002157064,1635418.7758111,1532102.7867292,1648679.6667292,1537718.7,2998800.0,제주TOU(3kW),0.0,0.0886841317602093,0.0479129238261554,동계난방민감형
T0009,365,0.9984018264840184,0,6219.203,518.2669166666666,5.511,1.0871272576118476,0.3438041015866502,0.3501618294176923,0.3060340689956574,0.1288250191190885,0.2498029065318602,1.6127998577192155,1.1472197252202354,1387515.1431994997,1362583.37460595,1479160.25460595,1306309.7999999998,2998800.0,구독기본형,56273.57460595016,0.0959153769766377,0.0733164909899178,하계·주말집중형
T0010,365,0.9987442922374428,0,7763.875999999998,646.9896666666665,3.37,1.0746493470249916,0.4350404359884161,0.2475708653770359,0.3173886986345479,0.2629932387572321,0.2948911525080527,1.372983948848159,0.8227620603422714,1894710.7092746,1615714.61835595,1732291.49835595,1727962.8,3008575.2,제주TOU(3kW),0.0,0.0579209761580756,0.0423997518933592,야간·평탄형
